Abk,Name,Kurzname,Typ,,
AKTKS,Kaltenkirchen Süd,Kaltenk Süd,NE-Bft,,
AKTO,Kating,Kating,Hp,,
AKUD,Kudensee,Kudensee,Awanst,,
AKUP,Kupfermühle,Kupfermühle,Hp,,
AKVI,Kiel VST Test- und Integrationssystem 1,Kiel VST TIS1,BZ,,
AKVS,Kiel VST Test- und Integrationssystem 3,Kiel VST TIS3,BZ,,
AKVU,Kiel VST Test- und Integrationssystem 2,Kiel VST TIS2,BZ,,
AKW,Kiel West,Kiel West,Bf,,
AKWA,Kiel Wiener Allee,Kiel Wien Allee,Bush,,
AKWK,Kiel-Wik,Kiel-Wik,NE-Bf,,
AKWS,Hamburg Kornweg (Klein Borstel),Kornweg,Hp,,
AKX,Klanxbüll,Klanxbüll,Bf,,
AL,Lübeck Hbf,Lübeck Hbf,Bf,,
AL  Z,Lübeck ZOB/Hbf,Lübeck ZOB/Hbf,Bush,,
ALA,Hamburg-Langenfelde Bbf,Hmb-Langenfd Bbf,Bf,,
ALAA,Hamburg-Langenfelde Abzw,Hmb-Langenf Abzw,Bft Abzw,,
ALAG,Hamburg-Langenfelde Gbf,Hmb-Langenf Gbf,NE-Bf,,
ALAL,Langeln (Holst),Langeln(Holst),NE-Hp,,
ALAN,Hamburg Landwehr,Landwehr,Hp,,
ALAS,Hamburg Landungsbrücken,Landungsbrücken,Bf,,
ALASK,Hamburg Landungsbr Brücke 7 Katamaran,Hmb Landbr 7 Kat,Slst,,
ALAU,Lauenburg (Elbe),Lauenburg (Elbe),Bf,,
ALB,Lübeck Flughafen,Lübeck Flughafen,Hp,,
ALBG,Lüneburg,Lüneburg,Bf,,
ALBGA,Lüneburg AVL,Lüneburg AVL,Museum,,
ALBGB,Lüneburg Busbf,Lüneburg Busbf,Bush,,
ALBGG,Lüneburg Gbf,Lüneburg Gbf,Bft,,
ALBGN,Lüneburg Nordkopf,Lüneburg Nordk,Bft,,
ALBGW,Lüneburg-Westseite,Lüneburg Wests,Bft,,
ALBG1,Lüneburg                             EST,Lüneburg,Est,,
ALBQ,Lüneburg Bedienstandort,Lüneburg BSO,BSO,,
ALBX,Lübeck - Büchen Strecke ESTW-Z,Lüb-Büchen ESTW,BZ,,
ALCH,Lüchow,Lüchow,NE-Bf,,
ALD,Lübeck-Dänischburg,Lübeck-Dänischbg,Bf,,
ALD A,Lübeck-Dänischburg IKEA Abzw,Lübeck IKEA Abzw,Bft Abzw,,
ALD B,Lübeck-Dänischburg Grenzweg Bus,Lübeck-Dän Bus,Bush,,
ALD G,Lübeck-Dänischburg Gbf,L-Dänischbg Gbf,Bft,,
ALE,Leitstade,Leitstade,Hp,,
ALF,List (Sylt) Fähre (Hafen),List(Sylt)Fähre,Bush,,
ALFD,Lentföhrden,Lentföhrden,NE-Bf,,
ALG,Langenhorn (Schlesw),Langenhorn/Schl,Hp Bk,,
ALGB,Schönkirchen Landgraben,Landgraben,NE-Bf,,
ALGD,Lägerdorf,Lägerdorf,Anst,,
ALGE,Lübeck-Genin,Lübeck-Genin,Awanst,,
ALGM,Elmshorn Langenmoor,Langenmoor,NE-Hp,,
ALGX,Lüneburg ESTW-UZ,Lüneburg ESTW,BZ,,
ALH,Lindholm,Lindholm,Bf,,
ALHA,Lübeck Hafen,Lübeck Hafen,Bf,,
ALHG,Lehnshallig,Lehnshallig,Bf,,
ALHS,Lübeck Hochschulstadtteil,L Hochschulstadt,Hp,,
ALHSA,Lübeck Alexander-Fleming-Straße,Lübeck A-Fleming,Bush,,
ALIS,List (Sylt),List (Sylt),Slst,,
ALISA,List (Sylt) Alte Bahnhofstraße,List(Sylt)A Bfst,Bush,,
ALISB,List (Sylt) Am Brünk,List(Sylt)A Brü,Bush,,
ALISD,List (Sylt) Dünenstraße,List(Sylt)Dünen,Bush,,
ALISG,List (Sylt) Mövengrund,List(Sylt)Möveng,Bush,,
ALISH,List (Sylt) Süderhörn,List(Sylt)Süderh,Bush,,
ALISJ,List (Sylt) Mövenberg DJH,List Mövenbg DJH,Bush,,
ALISM,List (Sylt) Mellhörn,List(Sylt)Mellhö,Bush,,
ALISS,List (Sylt) Schule,List(Sylt)Schule,Bush,,
ALISW,List (Sylt) Weststrand,List Weststrand,Bush,,
ALJ,Lütjenburg,Lütjenburg,Bf,,
ALJK,Lütjenkamp,Lütjenkamp,Museum,,
ALKG,Lübeck Konstinbahnhof Grenze,L-Konstinbf DBGr,Gp,,
ALKN,Lübeck-Kücknitz,Lübeck-Kücknitz,Abzw,,
ALKO,Lübeck Konstinbahnhof,Lübeck Konstinbf,fb-Bf,,
ALKR,Lübeck-Kücknitz Roter Hahn,L-Kückn Roter H,Hp,,
ALN,Lübeck-Niendorf,Lübeck-Niendorf,Bf,,
ALNX,Lüneburg Nord ESTW-UZ,Lünebg Nord ESTW,BZ,,
ALOF,Hamburg-Lokstedt,Hamburg-Lokstedt,Bf,,
ALOT,Lottorf,Lottorf,Üst,,
ALQ,Lübeck Bedienstandort,Lübeck BSO,BSO,,
ALR,Lübeck Hgbf,Lübeck Hgbf,Bf,,
ALRA,Lübeck Hgbf Abzw,Lübeck Hgbf Abzw,Bft Abzw,,
ALRD,Lübeck Duve,Duve,Anst,,
ALRT,Lübeck Schlutuper Tannen,Schlutuper Tann,Anst,,
ALS,Lensahn,Lensahn,Bf,,
ALSC,Lübeck-Schlutup,Lübeck-Schlutup,Bf,,
ALSJ,Lübeck St Jürgen,Lübeck St Jürgen,Hp,,
ALSK,Lübeck Skandinavienkai,Lüb Skand-kai,Bf,,
ALST,Hamburg-Langenfelde             (S-Bahn),Langenfelde,Hp,,
ALTG,Lübeck-Travemünde Skandinavienkai Grenze,L-Tra Skan DB-Gr,Gp,,
ALTH,Lübeck-Travemünde Hafen,Lüb-Trav Hafen,Hp,,
ALTK,Lübeck-Travemünde Skandinavienkai,Lüb-Trav Skankai,Hp,,
ALTS,Lübeck-Travemünde Strand,Lüb-Trav Strand,Hp,,
ALU,Lunden,Lunden,Hp,,
ALUB,Lauenbrück,Lauenbrück,Bf,,
ALX,Lübeck ESTW-UZ,Lübeck ESTW,BZ,,
AM,Maschen Rbf,Maschen Rbf,Bf,,
AM  D,Maschen Rbf vorverfügte Leerwagen,Maschen Dispo,Emst,,
AM  N,Maschen Rbf (Mnwf),Maschen Rbf Mnwf,Bft,,
AM  O,Maschen Rbf (Mnof),Maschen Rbf Mnof,Bft,,
AM  S,Maschen Rbf (Msof),Maschen Rbf Msof,Bft,,
AM  W,Maschen Rbf (Mswf),Maschen Rbf Mswf,Bft,,
AMA,Maschen Pbf,Maschen Pbf,Bf,,
AMAG,Bad Malente-Gremsmühlen,B Malente-Gremsm,Hp Üst,,
AMAR,Marne,Marne,Bf,,
AMBH,Norderstedt Moorbekhalle,Moorbekhalle,NE-Hp,,
AMD,Meckelfeld,Meckelfeld,Bft Abzw,,
AMDH,Meckelfeld                            Hp,Meckelfeld Hp,Hp,,
AME,Melsdorf,Melsdorf,Hp,,
AMF,Meldorf Hp,Meldorf Hp,Hp,,
AMFU,Meldorf,Meldorf,Üst,,
AMH,Mulmshorn,Mulmshorn,NE-Bf,,
AMKT,Möskental,Möskental,Bush,,
AML,Hamburg Mittlerer Landweg,Mittl Landweg,Hp,,
AMLI,Mölln (Lauenburg) Industriegleis,Mölln(Laubg)Ind,Awanst,,
AMLN,Mölln (Lauenburg),Mölln (Lauenb),Bf,,
AMM,Morsum (Sylt),Morsum (Sylt),Bf,,
AMM B,Morsum (Sylt) Bahnhof,Morsum (Sylt) Bf,Bush,,
AMM K,Morsum Kliff,Morsum Kliff,Bush,,
AMMH,Munkmarsch Hafen,Munkmarsch Hafen,Bush,,
AMMHM,Munkmarsch Mitte,Munkmarsch Mitte,Bush,,
AMML,Morsum (Sylt) Kleinmorsum,Morsum(Sylt)Klm,Bush,,
AMMLS,Morsum (Sylt) Skellinghörn,Morsum(Sylt)Skel,Bush,,
AMOO,Hamburg-Moorfleet,Hmb-Moorfleet,NE-Bf,,
AMR,Meimersdorf,Meimersdorf,Bf Abzw,,
AMRO,Meimersdorf Ost,Meimersdorf Ost,Bft Abzw,,
AMS,Mulsum-Essel,Mulsum-Essel,NE-Bf,,
AMSB,Maasbüll (b Niebüll),Maasbüll,NE-Hp,,
AMSS,Meeschensee,Meeschensee,NE-Hp,,
AMUE,Müssen,Müssen,Hp,,
AN,Neumünster,Neumünster,Bf,,
AN  G,Neumünster Gbf,Neumünster Gbf,Bft,,
ANAG,Neumünster Süd AKN DB-Grenze,Neum S AKN DB-Gr,Gp,,
ANB,Niebüll,Niebüll,Bf,,
ANB A,Niebüll Autozug,Niebüll Autozug,NE-Tpp,,
ANB B,Niebüll Bahnhof,Niebüll Bf,Bush,,
ANBA,Süderlügum Awanst,Süderlügum Awans,NE-Awanst,,
ANBG,Niebüll DB-Grenze,Niebüll DB-Gr,Gp,,
ANBN,Niebüll neg,Niebüll neg,NE-Bf,,
ANBS,Süderlügum,Süderlügum,NE-Hp,,
AND,Norderstedt,Norderstedt,NE-Bf,,
ANDM,Norderstedt Mitte,Norderst Mitte,NE-Bft,,
ANDS,Nordsode,Nordsode,NE-Hp,,
ANEB,Hamburg Norderelbbrücke,Norderelbbr,Abzw,,
ANEK,Neukirchen (Holst),Neukirchen/Holst,Bf,,
ANEZ,Neetzendorf,Neetzendorf,Hp,,
ANF,Nortorf,Nortorf,Bf,,
ANH,Nordhastedt,Nordhastedt,Hp,,
ANIB,Norderstedt Industriebahn,Norderstedt Ind,NE-Bf,,
ANL,Neukloster (Kr Stade),Neukloster/Kr St,Hp,,
ANM,Neumünster Süd                       AKN,Neumünster Süd,NE-Bf,,
ANMG,Neumünster DB-Grenze,Neumünster DB-Gr,Gp,,
ANN,Neustadt (Holst) Gbf,Neustadt/Hol Gbf,Bf,,
ANNM,Nörnum Mitte,Nörnum Mitte,Bush,,
ANOS,Norddörfer Schule (Sylt),Norddörfer Schul,Bush,,
ANQ,Neumünster Bedienstandort,Neumünster BSO,BSO,,
ANR,Hamburg-Neugraben,Hmb-Neugraben,Bf,,
ANRS,Hamburg-Neugraben               (S-Bahn),Neugr (S-Bahn),Bf,,
ANSG,Neumünster Süd DB-Grenze,Neum Süd DB-Gr,Gp,,
ANSJ,Neu St Jürgen,Neu St Jürgen,NE-Bf,,
ANSW,Neumünster Stadtwald,Neumünst Stadtw,Hp,,
ANT,Neustadt (Holst),Neustadt (Holst),Hp Awanst,,
ANTB,Hamburg-Nettelnburg,Nettelnburg,Hp,,
ANTZ,Nützen,Nützen,NE-Hp,,
ANW,Neuwittenbek,Neuwittenbek,Bf,,
ANWF,Neu Wulmstorf,Neu Wulmstorf,Hp,,
ANWG,Neuwittenbek DB-Grenze,Neuwittenb DB-Gr,Gp,,
ANWH,Insel Neuwerk,Insel Neuwerk,Slst,,
ANWS,Hamburg-Neuwiedenthal,Neuwiedenthal,Hp,,
ANX,Neumünster ESTW-Z,Neumünster ESTW,BZ,,
ANZ,Nordholz,Nordholz,Bf,,
ANZA,Nordholz Bundeswehr,Nordholz Bw,Awanst,,
ANZF,Cuxhaven/Nordholz Flugplatz,Nordholz Flugpl,NE-Tpp,,
AO,Bad Oldesloe,Bad Oldesloe,Bf,,
AOBG,Ottersberg (Han),Ottersberg (Han),Bf,,
AODF,Oldendorf (Rotb/Wü),Oldendorf,NE-Bf,,
AODT,Osterstedt,Osterstedt,Hp,,
AOE,Oerel,Oerel,NE-Bf,,
AOES,Oerel Süd,Oerel Süd,NE-Hp Anst,,
AOF,Otterndorf,Otterndorf,Hp,,
AOH,Hamburg-Othmarschen,Othmarschen,Bf,,
AOHA,Hamburg Oberhafen,Oberhafen,Abzw,,
AOL,Oldenburg (Holst),Oldenburg(Holst),Bf,,
AOL A,Oldenburg (Holst) Gbf,Oldenburg(H) Gbf,Bft,,
AON,Osterrönfeld,Osterrönfeld,Bf Abzw,,
AONA,Osterrönfeld Awanst,Osterrönf Awanst,Awanst,,
AOP,Hamburg-Ohlsdorf,Ohlsdorf,Bf,,
AOPD,Oppendorf,Oppendorf,NE-Bf,,
AOPDK,Oppendorf Kraftwerk,Oppendorf Kraftw,NE-Anst,,
AOPS,Hamburg-Ohlsdorf                (S-Bahn),Ohlsdorf(S-Bahn),Bf,,
AOR,Ohrstedt,Ohrstedt,Awanst,,
AOS,Owschlag,Owschlag,Bf,,
AOSD,Ostersode,Ostersode,NE-Hp,,
AOSO,Osterholz-Scharmbeck Ost,Oster-Scharm Ost,NE-Bf,,
AOST,Ostereistedt,Ostereistedt,NE-Bf,,
AOTS,Ottensen (Kr Stade),Ottensen (Kr St),NE-Hp,,
AOW,Hamburg-Tonndorf,Hamburg-Tonndorf,Hp,,
AOZ,Hamburg-Ochsenzoll,Hmb-Ochsenzoll,Bf,,
AP,Pinneberg,Pinneberg,Bf,,
APB,Hamburg-Poppenbüttel,Poppenbüttel,Bf,,
APD,Prisdorf,Prisdorf,Hp,,
APEW,Pellworm,Pellworm,Slst,,
APF,Pansdorf,Pansdorf,Bf,,
APLN,Plön,Plön,Bf,,
APN,Pönitz (Holst),Pönitz (Holst),Bf,,
APO,Bad St Peter-Ording,St Peter-Ording,Hp,,
APOF,Pogeez,Pogeez,Bf,,
APOK,Puan Klent,Puan Klent,Bush,,
APS,Pinneberg                       (S-Bahn),Pinneberg SB,Bf,,
APSD,Bad St Peter Süd,Bad St Peter Süd,Hp,,
APSH,Probsteierhagen,Probsteierhagen,NE-Bf,,
APSS,Passade,Passade,NE-Hp,,
APU,Puttgarden,Puttgarden,Bf,,
APU F,Puttgarden Fähre,Puttgarden Fähre,Slst,,
APUH,Hamburg Pulverhof,Pulverhof,Hp,,
APUL,Landkirchen,Landkirchen,Anst,,
APZ,Preetz,Preetz,Bf,,
AQAH,Ahrensburg SH/HH,Ahrensburg SH/HH,LGr,,
AQB,Quickborn,Quickborn,NE-Bf,,
AQBD,Quickborn Süd,Quickborn Süd,NE-Bft,,
AQBS,Norderstedt Quickborner Straße,Quickborner Str,NE-Hp,,
AQE,Hamburg-Eidelstedt HH/SH,Eidelstedt HH/SH,LGr,,
AQEG,Hamburg Elbgaustraße HH/SH,Hmb Elbgstr LGr,LGr,,
AQHI,Hittfeld NI/HH,Hittfeld NI/HH,LGr,,
AQLA,Lauenburg (Elbe) SH/NI,Lauenburg NI/SH,LGr,,
AQM,Maschen NI/HH 1255,Maschen 1255,LGr,,
AQM G,Maschen NI/HH 1280,Maschen 1280,LGr,,
AQMD,Meckelfeld NI/HH,Meckelfeld NI/HH,LGr,,
AQNW,Neu Wulmstorf NI/HH,Neu Wulmst HH/NI,LGr,,
AQRB,Reinbek SH/HH 6100,Reinbek 6100,LGr,,
AQRBK,Reinbek SH/HH 1244,Reinbek 1244,LGr,,
AQRI,Hamburg-Rissen HH/SH,Hmb-Rissen LGr,LGr,,
AQSA,Sagehorn NI/HB 2200,Sagehorn 2200,LGr,,
AQSAG,Sagehorn NI/HB 1404,Sagehorn 1404,LGr,,
AQWR,Wremen NI/HB,Wremen NI/HB,LGr,,
AR,Rendsburg,Rendsburg,Bf,,
ARAK,Rabenkirchen,Rabenkirchen,NE-Hp,,
ARAL,Hamburg-Rahlstedt,Hmb-Rahlstedt,Bf,,
ARALB,Hamburg-Rahlstedt Bbf,Hmb-Rahl Bbf,Bft,,
ARAS,Hamburg-Rahlstedt               (S-Bahn),Rahlstedt,Bf,,
ARAT,Ratekau,Ratekau,Bf,,
ARAX,Hamburg-Rahlstedt ESTW-UZ,Hmb-Rahlst ESTW,BZ,,
ARBK,Reinbek,Reinbek,Hp,,
ARBS,Rendsburg Büsumer Straße,Büsumer Str,Hp,,
ARD,Reinfeld (Holst),Reinfeld (Holst),Bf,,
ARE,Reinsbüttel,Reinsbüttel,Hp,,
ARES,Hamburg Reeperbahn,Reeperbahn,Hp,,
ARF,Ratzeburg,Ratzeburg,Bf,,
ARG,Rendsburg DB-Grenze,Rendsburg DB-Gr,Gp,,
ARH,Radbruch,Radbruch,Hp,,
ARHB,Rendsburg Hochbrücke,Rendsburg Hochbr,Üst,,
ARHKP,Rehnkamp,Rehnkamp,Museum,,
ARI,Hamburg-Rissen Hp,Rissen Hp,Hp,,
ARIS,Hamburg-Rissen,Rissen,Bf,,
ARIU,Hamburg-Rissen Üst,Rissen Üst,Üst,,
ARL,Rickling,Rickling,Hp,,
ARMB,Rendsburg Mastbrook,Rendsb Mastbrook,Hp,,
ARMD,Rathmannsdorf,Rathmannsdorf,NE-Anst,,
ARMM,Rantum (Sylt) Mitte,Rantum(Sylt)Mitt,Bush,,
ARMMC,Rantum (Sylt) Campingplatz,Rantum(Sylt)Camp,Bush,,
ARMMH,Rantum (Sylt) Seeheim,Rantum(Sylt)Seeh,Bush,,
ARMMN,Rantum (Sylt) Nord,Rantum(Sylt)Nord,Bush,,
ARMMS,Rantum (Sylt) Süd,Rantum(Sylt)Süd,Bush,,
AROD,Rotenburg (Wümme) DB-Grenze,Rotenburg DB-Gr,Gp,,
AROE,Hamburg-Rissen Ölweiche,Hmb-Rissen Ölw,Bf,,
AROG,Rotenburg (Wümme),Rotenburg(Wümme),Bf,,
AROP,Hamburg-Rothenburgsort          (S-Bahn),Rothenburgsort,Hp,,
AROW,Hamburg-Rissen Ölweiche            (Üst),Hmb-Rissen Ölw Ü,Üst,,
ARP,Hamburg-Rübenkamp,Rübenkamp,Hp,,
ARRS,Rhadereistedt,Rhadereistedt,NE-Bf,,
ARS,Raisdorf,Raisdorf,Bf,,
ARSW,Raisdorf West,Raisdorf West,Awanst,,
ARWD,Ruschwedel,Ruschwedel,NE-Hp,,
ARWDB,Ruschwedel BHE,Ruschwedel BHE,Museum,,
ARWG,Norderstedt Richtweg,Richtweg,NE-Bf,,
ARY,Rieseby,Rieseby,Hp,,
AS,Sottrum,Sottrum,Bf,,
ASAF,Samoa FKK-Strand,Samoa FKK-Strand,Bush,,
ASAG,Sagehorn,Sagehorn,Bf,,
ASAI,Schauinsland,Schauinsland,Bush,,
ASAZ,Scharbeutz,Scharbeutz,Bf,,
ASB,Bad Segeberg,Bad Segeberg,Bf,,
ASBR,Boren Schleibrücke,Schleibrücke,Bk,,
ASC,Schülldorf,Schülldorf,Hp,,
ASCA,Bad Schwartau Abzw,B Schwart Abzw,Abzw,,
ASCB,Schönberg (Holst),Schönberg(Holst),NE-Bf,,
ASCG,Kiel-Schusterkrug,Schusterkrug,NE-Bf,,
ASCH,Bad Schwartau,Bad Schwartau,Hp,,
ASCK,Schönkirchen,Schönkirchen,NE-Bf,,
ASCS,Schönberger Strand,Schönbger Strand,NE-Bf,,
ASD,St Michaelisdonn,St Michaelisdonn,Bf,,
ASDC,Brunsbüttel Condea,Condea,Anst,,
ASDD,Süderdeich,Süderdeich,Hp,,
ASDF,Hamburg-Sülldorf,Sülldorf,Bf,,
ASDN,Schneverdingen,Schneverdingen,Bf,,
ASDS,Stedesand,Stedesand,Bf,,
ASDW,Sandwehle,Sandwehle,Hp,,
ASDWB,Garding-Sandwehle (Bus),Sandwehle Bus,Bush,,
ASE,Hamburg Süderelbbrücke,Süderelbbrücke,Bft Abzw,,
ASEG,Hamburg Süderelbbrücke DB-Grenze,Süderelbbr DB-Gr,Gp,,
ASGR,Scheggerott,Scheggerott,NE-Bf,,
ASHS,Hamburg-Stadthausbrücke,Stadthausbrücke,Bft,,
ASID,Sierksdorf,Sierksdorf,Bf,,
ASIT,Sittensen,Sittensen,NE-Bf,,
ASL,Scheeßel,Scheeßel,Bf,,
ASLD,Hamburg-Schnelsen Süd,Hmb-SchnelsenSüd,NE-Hp,,
ASLI,Selsingen,Selsingen,NE-Bf,,
ASLL,Sellstedt,Sellstedt,NE-Hp,,
ASLS,Hamburg-Schnelsen,Hmb-Schnelsen,NE-Bft,,
ASLU,Schulau,Schulau,Slst,,
ASLUW,Wedel-Schulau Wilkommenshöft,Schulau Willkomm,Slst,,
ASM,St Margarethen                   (Holst),St Margarethen,Anst,,
ASOE,Sörup,Sörup,Bf,,
ASON,Soltau (Han) Nord,Soltau Nord,Hp,,
ASP,Sprötze,Sprötze,Hp,,
ASPS,Sparrieshoop,Sparrieshoop,NE-Bf,,
ASQ,Hamburg Kai Rechts,Hmb Kai Rechts,Anst,,
ASSD,Stadersand,Stadersand,Anst,,
ASSI,Schlüttsiel,Schlüttsiel,Slst,,
ASST,Hamburg Sternschanze            (S-Bahn),Sternschanze SB,Bf,,
AST,Stade,Stade,Bf,,
AST 2,Stade(GZ),Stade(Gz),Est,,
ASTD,Stakendorf,Stakendorf,Museum,,
ASTE,Stelle,Stelle,Bf,,
ASTG,Stade DB-Grenze,Stade DB-Grenze,Gp,,
ASTK,Strukkamp,Strukkamp,Bf,,
ASTL,Hamburg-Stellingen,Hmb-Stellingen,NE-Bf,,
ASTR,Strecknitz,Strecknitz,Abzw,,
ASTS,Hamburg-Stellingen              (S-Bahn),Stellingen,Hp,,
ASTT,Büchen Steinautal,Steinautal,Üst,,
ASTU,Struckum,Struckum,Bf,,
ASTZ,Hamburg Sternschanze,Hmb Sternschanze,Üst,,
ASU,Suchsdorf,Suchsdorf,Bf,,
ASU N,Suchsdorf NE,Suchsdorf NE,NE-Bft,,
ASUE,Süderbrarup,Süderbrarup,Bf,,
ASUEN,Süderbrarup NE,Süderbrarup NE,Museum,,
ASUG,Suchsdorf DB-Grenze,Suchsdorf DB-Gr,Gp,,
ASUP,Suerhop,Suerhop,Hp,,
ASW,Schleswig,Schleswig,Bf,,
ASWA,Schwarzenbek,Schwarzenbek,Bf,,
ASY,Schuby,Schuby,Awanst,,
ASYO,Sylt-Ost Sportanlage,Sylt-Ost Sportan,Bush,,
ATAK,Tanneneck,Tanneneck,NE-Bft,,
ATAT,Tating,Tating,Hp,,
ATB,Tiebensee,Tiebensee,Hp,,
ATG,Tönning,Tönning,Bf,,
ATHS,Thesdorf,Thesdorf,Hp,,
ATIM,Timmendorfer Strand,Timmend Strand,Bf,,
ATIT,Tiste,Tiste,NE-Bf,,
ATK,Hamburg-Tiefstack,Tiefstack,Hp,,
ATM,Tornesch,Tornesch,Bf,,
ATMG,Tornesch DB-Grenze,Tornesch DB-Gr,Gp,,
ATMM,Tinnum (Sylt) Mitte,Tinnum(Sylt)Mitt,Bush,,
ATMMC,Tinnum (Sylt) Culemeyerstraße,Tinnum(Sylt)Cule,Bush,,
ATMME,Tinnum (Sylt) Einkaufszentrum,Tinnum(Sylt)EKZ,Bush,,
ATMMG,Tinnum (Sylt) Gemeindehaus,Tinnum(Sylt)Gem,Bush,,
ATMMK,Tinnum (Sylt) Königskamp,Tinnum(Sylt)Köni,Bush,,
ATMMN,Tinnum (Sylt) Neuapostolische Kirche,Tinnum(Sylt)Neua,Bush,,
ATMMS,Tinnum (Sylt) Siedlung,Tinnum(Sylt)Sied,Bush,,
ATOS,Hamburg-Tonndorf                (S-Bahn),Tonndorf,Bf,,
ATP,Tarp,Tarp,Hp,,
ATRL,Probsteierhagen Trensahl,Trensahl,NE-Hp,,
ATSG,Tostedt DB-Grenze,Tostedt DB-Gr,Gp,,
ATSO,Tarmstedt Ost,Tarmstedt Ost,NE-Bf,,
ATST,Tostedt,Tostedt,Bf,,
ATSW,Tostedt West,Tostedt West,NE-Bf,,
AUB,Henstedt-Ulzburg,Henstedt-Ulzburg,NE-Bf,,
AUBS,Ulzburg Süd,Ulzburg Süd,NE-Bf,,
AUP,Uphusum,Uphusum,NE-Hp,,
AUTS,Uetersen,Uetersen,NE-Bf,,
AVF,Vastorf,Vastorf,Hp,,
AVK,Vogelkoje,Vogelkoje,Bush,,
AVL,Hamburg-Veddel,Veddel,Abzw,,
AVLG,Hamburg-Veddel DB-Grenze,Veddel DB-Gr,Gp,,
AVLS,Hamburg-Veddel                  (S-Bahn),Veddel (S-Bahn),Hp,,
AVLX,Hamburg-Veddel ESTW-A,Veddel ESTW,BZ,,
AVSL,Voßloch,Voßloch,NE-Hp,,
AWA,Wasbek,Wasbek,Hp,,
AWAF,Waffensen,Waffensen,NE-Bf,,
AWAH,Wahlstedt,Wahlstedt,Hp,,
AWBS,Hamburg-Wellingsbüttel,Wellingsbüttel,Hp,,
AWBU,Wesselburen,Wesselburen,Hp,,
AWCH,Hamburg Wandsbeker Chaussee,Wandsb Chaussee,Hp,,
AWD,Wankendorf,Wankendorf,Bf,,
AWDH,Lüchow Wendland,Wendland,Anst,,
AWE,Wendisch Evern,Wendisch Evern,Hp,,
AWFS,Hamburg-Wilhelmsburg            (S-Bahn),Wilhelmsburg SB,Bf,,
AWG,Wingst,Wingst,Hp,,
AWGR,Wagersrott,Wagersrott,NE-Hp,,
AWHB,Westerheide-Blidsel,Westerheide-Bl,Bush,,
AWHD,Wehdel,Wehdel,NE-Hp,,
AWHF,Wüstenhöfen,Wüstenhöfen,NE-Bf,,
AWHO,Hamburg-Waltershof,Hmb-Waltershof,fb-Bft,,
AWHOD,Hamburg-Waltershof Dradenau,Dradenau,NE-Bft,,
AWHOH,Hamburg-Waltershof Hansaport,Hansaport,NE-Bft,,
AWHOM,Hamburg-Waltershof Mühlenwerder,Mühlenwerder,NE-Bft,,
AWHOO,Altenwerder Ost,Altenwerder Ost,NE-Bft,,
AWHOS,Hamburg-Waltershof Alte Süderelbe,Alte Süderelbe,NE-Bft,,
AWI,Winsen (Luhe),Winsen (Luhe),Bf,,
AWI B,Winsen (Luhe) Busbf,Winsen(Luhe) Bus,Bush,,
AWID,Wilstedt,Wilstedt,NE-Bf,,
AWIM,Wintermoor,Wintermoor,Hp,,
AWIR,Wilster,Wilster,Bf,,
AWK,Wakendorf,Wakendorf,Hp,,
AWL,Wedel (Holst),Wedel (Holst),Bf,,
AWLA,Westerland (Sylt),Westerland(Sylt),Bf,,
AWLAA,Westerland (Sylt) Ankerlicht,Westerl(S)Ankerl,Bush,,
AWLAC,Westerland (Sylt) Campingplatz,Westerl(S)Camppl,Bush,,
AWLAD,Westerland (Sylt) DRK,Westerl(S)DRK,Bush,,
AWLAF,Westerland (Sylt) FKK-Strand,Westerl(S)FKK-St,Bush,,
AWLAH,Westerland (Sylt) Harlemdüür,Westerl(S)Harlem,Bush,,
AWLAJ,Westerland (Sylt) Johann-Möller-Platz,Westerl(S)JMP,Bush,,
AWLAL,Westerland (Sylt) Lorenz-de-Hahn-Straße,Westerl(S)Hahnst,Bush,,
AWLAM,Westerland (Sylt) Meisenweg,Westerl(S)Meisen,Bush,,
AWLAN,Westerland (Sylt) Norderstraße,Westerl(S)Norder,Bush,,
AWLAP,Westerland (Sylt) Alte Post,Westerl(S)AlteP,Bush,,
AWLAS,Westerland (Sylt) Stadtmitte,Westerl(S)Stadtm,Bush,,
AWLAU,Westerland Autozug,Westerland Autoz,NE-Tpp,,
AWLAW,Westerland (Sylt) Waldstraße,Westerl(S)Wald,Bush,,
AWLAZ,Westerland (Sylt) ZOB,Westerl(S)ZOB,Bush,,
AWLB,Hamburg-Wilhelmsburg,Hmb-Wilhelmsbg,Bf,,
AWLBA,Hamburg-Wilhelmsburg Abzw,Hmb-Wlb Bft Abzw,Bft Abzw,,
AWLBS,Hamburg-Wilhelmsburg Abzw S-Bahn,Hmb-Wlb Abzw S-B,Bft Abzw,,
AWLF,Wohltorf,Wohltorf,Bf,,
AWLG,Hamburg-Wilhelmsburg DB-Grenze,Hmb-Wilhbg DB-Gr,Gp,,
AWLN,Westerland (Sylt) Nordseeklinik,Westerl(S)Nordkl,Bush,,
AWLNL,Westerland (Sylt) Lerchenweg,Westerl(S)Lerche,Bush,,
AWLNM,Westerland (Sylt) Marinesiedlung,Westerl(S)Marine,Bush,,
AWLNW,Westerland (Sylt) Wenningstedter Weg,Westerl(S)Wenn W,Bush,,
AWLX,Hamburg-Wilhelmsburg ESTW-UZ,Hmb-Wilhbg ESTW,BZ,,
